step,timestamp,coverage,known_cells,total_cells,cov_trace,pos_x,pos_y,altitude,frontier_count,nearest_frontier_dist,loop_closures,tracking_lost_events,new_cells,note
186,1776030503.1450617,0.2361,3669,15540,0.083887,-1.066,0.66,1.095,15,0.854,43,0,0,
187,1776030505.1575112,0.2362,3670,15540,0.083251,-0.997,0.731,1.131,15,0.952,43,0,1,
188,1776030507.165404,0.2362,3670,15540,0.083251,-0.971,0.644,1.126,15,0.901,43,0,0,
189,1776030509.1722515,0.2362,3670,15540,0.083251,-1.107,0.658,1.089,15,0.828,43,0,0,
190,1776030511.1795783,0.2379,3697,15540,0.083417,-1.079,0.694,1.111,15,0.874,44,0,27,
191,1776030513.18645,0.2379,3697,15540,0.079539,-0.897,0.674,1.113,15,0.973,45,0,0,
192,1776030515.1967041,0.2379,3697,15540,0.079539,-0.819,0.792,1.152,15,1.113,45,0,0,
193,1776030517.206238,0.238,3698,15540,0.081467,-0.8,0.823,1.151,15,1.148,45,0,1,
194,1776030519.2172847,0.2385,3707,15540,0.081736,-0.644,0.791,1.172,15,1.238,46,0,9,
195,1776030521.2249184,0.2385,3707,15540,0.081736,-0.659,0.971,1.142,15,1.353,46,0,0,
196,1776030523.2345314,0.2385,3707,15540,0.088348,-0.713,0.892,1.133,15,1.259,46,0,0,
197,1776030525.2458901,0.2385,3707,15540,0.088348,-0.643,0.964,1.129,15,1.359,46,0,0,
198,1776030527.2533226,0.238,3699,15540,0.096689,-0.612,1.04,1.128,15,1.436,47,0,0,
199,1776030529.2601311,0.2385,3706,15540,0.101121,-0.746,1.033,1.145,15,1.344,47,0,7,
200,1776030531.2674565,0.2385,3706,15540,0.101121,-0.733,1.089,1.124,15,1.396,47,0,0,
201,1776030533.2761164,0.2385,3706,15540,0.101121,-0.647,0.981,1.113,15,1.369,47,0,0,
202,1776030535.2860975,0.2385,3706,15540,0.101121,-0.618,0.839,1.126,15,1.289,47,0,0,
203,1776030537.2952287,0.2387,3709,15540,0.095941,-0.731,0.885,1.106,15,1.242,48,0,3,
204,1776030539.3022985,0.2396,3724,15540,0.099918,-0.858,0.749,1.109,15,1.055,49,0,15,
205,1776030541.3093789,0.2396,3724,15540,0.084396,-0.866,0.548,1.064,15,0.912,49,0,0,
